input,entity,label
아이도 어른도.. 부담없이 사용할 수 있는 제품 ..,본품#편의성,0
#A24 알로에수딩젤에 호호바오일을 한두방울 떨어트려 혼합해서 사용하믄 더욱 촉촉하네요😁,본품#품질,0
세가지향 다~ 좋아,본품#일반,0
코 피지 제거는 물론 얼굴 전체를 바를 수 있으며 핑크색으로 컬러가 정말 이쁘고 허브향이 나서 여성분들이 정말 좋아하는 향이랍니당,본품#일반,0
왜들 좋아하는지 이유를 알겠슴..,제품 전체#인지도,0
유해성 없는 국내산원단에 엄청 도톰 프리미엄 엠보싱이라 풍성한 거품이 오래 지속되니 주방세제도 적게 사용하는듯〰️,본품#품질,0
바르자마자 느껴지는 톤업효과,본품#품질,0
디자인도 이쁘고 천연계면활성제를 사용한 착한치약 #아라크리스,본품#품질,0
울통불통한 셀룰라이트에 도움도 된다니 안쓸수가없지요,본품#품질,0
더군다나 예쁘기까지,제품 전체#디자인,0
섀도우 구성도 데일리로 사용하기 딱 좋쿠 미니미니한 사이즈의 립밤에 립스틱까지! 💄,본품#일반,0
이제 이 두가지 크림만 있으면 주름걱정안녕~!!,제품 전체#일반,0
여러뻔 빨아써서 경제적이고 매일 바꿔쓰니 위생적이고~👏👏,제품 전체#가격,0
수분 가득하고 약산성 제품이라 순한게 울 아들 사용하기에 딱 좋아요,본품#품질,0
생각했던 것보다 편하고 이쁘네 🙃,제품 전체#디자인,0
조금만 더워도 땀흘리는 &name&에게 완전 딱 맞는 실내복이네요!!,제품 전체#일반,0
고농축 퀴노아 성분을 함유해 1회 사용만으로도 극손상 모발을 40% 빠르게 개선시켜 줘요,본품#품질,0
요즘 미세먼지다 뭐다 말도 많고 실제로 내 피부 트러블도 자주 생기고.. 클렌징에 문제가 있나.. 걱정했었는데 이제 걱정 없어요 ㅎㅎ,제품 전체#일반,0
리치한 느낌일거라 생각했는데 부드럽고 가볍게 발리고 빠르게 흡수되어 사용하기 좋아요.,본품#품질,0
부드러우면서도 잔여물 없이 깨끗하게-,제품 전체#품질,0
1단계~20단계까지 자극강도조절은 물론 1hz~1200hz의 주파수를 사용하는 4가지 모드로 다양하게 안마가 가능해요!!,본품#품질,0
발림성 커버력 좋아요👍,본품#품질,0
더 편한데 더 깔끔하게 닦을수 있어서 좋구요,본품#품질,0
씐난다~~,제품 전체#일반,0
망고버터가 영양도 공급해주고 산뜻한 클렌징 효과까지~,본품#품질,0
3종 쟁였더니 얼굴부터 바디까지 온종일 촉촉해서 좋네요👏🏻👏🏻,본품#품질,0
달팽이점액의 쫀득쫀득한 제형 피부결에 감기는 듯 한 발림성,본품#품질,0
식탁 위의 분위기를 밝고 예쁘게 해주는 #북유럽풍식기,제품 전체#디자인,0
이거 중독성 쩔어요...,제품 전체#일반,0
이런 옷 (공주st) 안좋아하는데 너무 이쁘다 😍,제품 전체#디자인,0
EGW 인증된 저자극 안심성분제품으로만 사용하고 작은거품들이 아기의 몸 구석구석을 꼼꼼하게 닦아주며 세정력도 좋으면서 이물감없이 뽀득뽀득 씻겨지는 기분이였어요,본품#품질,0
시원한 쿨링감과 은은하고 기분좋은향까지 매일매일 발라서 우리 예쁘게 #몸매관리 해서 비키니 입어보아요,본품#품질,0
"스킨 기능은 기본 보습, 톤 보정, 자외선차단, 피부톤 보정까지 한번에 가능하니 여행갈때도 요고 하나면 충분^^",본품#품질,0
그래서인지 누적판매량도 어마어마..,제품 전체#인지도,0
첫째도 둘째도 발진없이 잘사용했던 기저귀 ㅎㅎㅎ,제품 전체#일반,0
남녀모두사용할 수 있는 향,본품#일반,0
또한 내구성과 복원력도 좋고 반영구적이라 경제적이랍니다!,제품 전체#품질,0
두피장벽 두껍게 해줘서 오래사용하면 머리숱 많아진다니 오늘부터 써봅시다 :-),본품#품질,0
피부에 촉촉함을 잔뜩 주고 #시카보습 까지 해주니 지친피부 지켜요,본품#품질,0
친환경적이고 반영구적이라 화학적인 성분 걱정없이 경제적으로 사용할 수 있어 자기 몸을 소중히 여기는 여성들에게 각광을 받고 있는데요,제품 전체#가격,0
"스튜디오에서 촬영하듯, 스포트라이트 조명을 쏴주는데 어두운 곳에선 어두운 곳대로 밝은 곳에선 또 밝은 곳대로 내 얼굴만 밝고 환하게 예쁘게 나오게 해주네여 ㅎㅎ",본품#품질,0
봄이 올듯말듯 여전히 찬바람은 쌩쌩이고 건조하기까지 한데 내 피부 윤기나게 지켜줘야죵!ㅎㅎ,본품#품질,0
짱짱함 갑!!,제품 전체#품질,0
"저녁에는 크림에 섞어 한번, 건조한 부위만 한번 더 덧발라 피부 수분잠금 해주고 있어요!",본품#품질,0
그리고 허리라인이 들어갔기땜에 내 몸보완에도 너무 좋은듯,본품#디자인,0
세척력이 좋아 빨래가 깨끗깨끗~♡,본품#품질,0
요 쪼마난 것이 펼치면 확~ 커지는 요술담요죠!,제품 전체#일반,0
#3개의칫솔모 가 위와 양옆에서 감싸줘 양치질하기 더편하고 구석구석 더 깔끔해요,본품#품질,0
"✔ 사탕수수,야자 식물유래 성분으로 안심!",본품#품질,0
강력추천 해드립니다,제품 전체#일반,0
예쁜게 편하기까지 하니까 엄마도 탐내요ㅋㅋ,본품#편의성,0
그리고 미스트의 편리함과 위생에도 탁월,본품#편의성,0
유해성 없는 국내산원단에 엄청 도톰 프리미엄 엠보싱이라 풍성한 거품이 오래 지속되니 주방세제도 적게 사용하는듯〰️,본품#품질,0
가성비 좋아서 쓰고 있는데.. 자주 갈아줘도 부담없고 ^^.. 아이도 활동하는데 무리없고..,제품 전체#일반,0
투박한 블랙색상보단 세련된 화이트 색상이 우리 주방과 조화로워요~,제품 전체#디자인,0
#흡수력좋은기저귀,제품 전체#품질,0
48시간 지속력에 ~ 커버와 톤업을 동시에 시켜줘서 다크닝은 없고 화사함은 밝혀줘서 요즘 맨날 사용하고 있음 !,본품#품질,0
하루 종일 지친 피부 #NUXE #리치오일 로 릴렉스 해주기 💕,제품 전체#일반,0
집에서 제모를 좀 더 효과적으로 하기 위해 가정에서 사용가능한 #IPL제모의료기기 는 고급스럽고 제모 역할도 충실히 해줍니다.,본품#품질,0
매일매일 목욕이 너무 즐거워져요,제품 전체#일반,0
#미국판매1위 #바니크림 진짜 넘좋네요,제품 전체#인지도,0
299g 에 세상에서 가장 빠른 0.05초 AF 라..,본품#품질,0
올바른 양치질을 쉽게 할수 있으니깐 뽀득뽀득 더 상쾌하고 시원한 느낌 ♡,제품 전체#일반,0
"제 친구는 출산 후, 더욱 고민이 많은 것 같아 요 제품 추천해줬어요!",제품 전체#일반,0
허리라인 ~ 힙은 업!,제품 전체#품질,0
자연스러운 광채까지 딱좋아요!,본품#품질,0
예쁜 컬러라서 주방인테리어 소품으로 활용해도 손색없더라구요~,제품 전체#디자인,0
어떤 옷도 당당하게 입을수 있게 되었지요~~,제품 전체#일반,0
#화병 너무 귀여움,제품 전체#디자인,0
쓰고나서 당김없이 매끈하고 촉촉한 사용감에 푹빠짐!,본품#품질,0
자극없이 메이크업이 지워지고 피지를 깨끗하게 녹여줘서 블랙헤드가 생길틈이 없어요,본품#품질,0
은은한향도 너무 좋은데다 진짜순하고 자극이 없는것 같아요,본품#품질,0
기존 패키지도 예뻤는데 이번에 바뀐 패키지는 뭔가 더 순수해보이고 사랑스러워보이는 느낌~!,패키지/구성품#디자인,0
건성피부가 애정하는 #아이소이 #모이스춰라이집 !,제품 전체#일반,0
컬러 없는 세상을 만들고 싶어하는 쿠파대마왕으로부터 피치공주를 구해줄 컬러풀하고 귀여운 16가지 슈에무라x슈퍼마리오 #홀리데이컬렉션 완전기대중~~ㅎㅎ,제품 전체#일반,0
핑크빛 오일 층 디 포어 콤플렉스로.. 모공조절이나 피부의 진정 수렴에 도움이 되거든여..,본품#품질,0
무엇보다 #워싱소재 라 특별해요,본품#품질,0
"리프팅에 좋은 아이디얼리프트 성분 40,000ppm 콜라겐 10,000ppm함유된 #고농축크림 성분",본품#품질,0
육아 중 젤로 힘들었던 수면을 네무리라를 만난면서 걱정 끝 엄마는 너무 행복해졌어,제품 전체#일반,0
#꽃잎 #리얼이니?,제품 전체#일반,0
푸석푸석 해보이기 까지 하니 한살이라도 어릴때 관리하자 하고 만난 더마허브 마스크팩 ~!,제품 전체#일반,0
임산부부터 영유아까지 온가족이 안심하고 사용할수 있는 천연화장품 #입솜,본품#품질,0
저도 같이 사용해야겠어요ㅋㅋ,제품 전체#일반,0
⭐하얗게 뜨는 백탁 없이 자연스럽게 톤보정을 해주는 데일리 톤업베이스랍니다,본품#품질,0
촉촉하고 부드러운 사용가으로 피부에 쉽게 발리고 빠르게 흡수되요 👍,본품#품질,0
"pH5.5 약산성이라 순하고, 세안후 피부가 초크초크해~",본품#품질,0
피부에 좋으다는 마스크팩 다 써보는데 요거에 정착해야겠으요 ㅋㅋ,제품 전체#일반,0
요즘 나의 #외출필수템 이 되어버린,제품 전체#일반,0
"자연유래식물성으로 임산부,어린이, 민감성두피 모두 사용가능!",본품#품질,0
내피부도 상큼하게 해주네요~,제품 전체#일반,0
"외출 후, 나쁜 공기 때문에 울긋불긋 피부가 민감하고 트러블이 올라올 때엔 센텔라 밸런싱 스타 마스크를 !",제품 전체#일반,0
1개의 본체에 3개의 헤드를 연결해서 사용할 수 있어 죠으다!!,제품 전체#품질,0
색상이 보니 어느정도 투명해서 티도.. 많이 안나고 >_< 전용가위까지 센스 쩔..,패키지/구성품#일반,0
쫀득한 질감이 너무 좋은 #동인비에센스 #동인비..,본품#일반,0
