input,label
그렇다고 백화점에서 똑같은 걸 5만원 더 주고 사기도 싫고.,"[0, 0, 0, 1, 0]"
"스펙상으로는 116g인데 집에서 저울로 재어보니 118g, 실제로 들어보니 돌덩이 같다.","[1, 0, 0, 0, 0]"
역시 내게는 98g이상은 무거운 거였어.,"[1, 0, 0, 0, 0]"
디자인은 흰색은 참.. 별로였는데 블랙으로 하니 그나마 아이덴티티라고 할만한 게 하나도 없어서 좀 낫다.,"[0, 1, 0, 0, 0]"
저 다이아몬드 버튼과 둥글게 처리한 게 마음에 안 든다.,"[0, 1, 0, 0, 0]"
"각진 인생, 폰도 사각이 좋고 뒷백도 펄 같은 거 좀 별롤세;;","[0, 1, 0, 0, 0]"
워낙 하드보일드한 성격이라 군더더기로 넣은 디자인이 마음에 다 안 들어.,"[0, 1, 0, 0, 0]"
ㅜ ㅜ 테이크폰처럼 만들어주던가 멋을 내려면 아크..,"[0, 1, 0, 0, 0]"
착한지 안 착한지는 상대적이라 잘 모르겠으나 살인적인 물가를 고려할 때 이 정도면 적정선 같음.,"[0, 0, 0, 1, 0]"
배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.,"[0, 1, 0, 0, 0]"
사실 난 투명 컵이 더 좋은데 다들 색깔이 연하게 들어가있다.,"[0, 1, 0, 0, 0]"
사이즈가 평소 마시는 것보다 약간 커서 넉넉하게 담을 수 있는 건 좋은데 설거지하기에는 밑이 좀 깊어서 불편.,"[1, 0, 0, 0, 0]"
그렇다고 가격이 그렇게 비싸냐하면 절대 그렇지 않다.,"[0, 0, 0, 1, 0]"
저것만 제거하면 되서 정말 편하다.,"[1, 0, 0, 0, 0]"
너무 이뻐서(얼굴은 보지도 않았음. 이게 병;)신발만 보면서 한참을 따라간 듯.,"[0, 1, 0, 0, 0]"
그래서 매장에 가봤더니 아니나 다를까 색감하며 디자인하며 이건 무슨 구석기 시대 운동화냐 싶은게 신어보니 발은 항공모함만해 보여서 냅다 버리고 뒤도 안 돌아보고 왔단 얘기.,"[0, 1, 0, 0, 0]"
특히 마음에 안 드는 건 뒷축으로 클래식 시리즈는 덜 하지만 뉴발의 대개 모델들은 뒷축이 이상하게 툭 튀어나와서 좀 닳을 때까지는 눈에 너무 거슬릴 거 같다.,"[0, 1, 0, 0, 0]"
근데 난 빨강을 안 좋아한다.,"[0, 1, 0, 0, 0]"
봉제선이 앞코 쪽에 딱 한군데 있고 맥스나 테니스 클래식 등보다 훨씬 편하다.,"[1, 1, 0, 0, 0]"
가격은 운동화치고는 꽤 세다.,"[0, 0, 0, 1, 0]"
매장에서 꽤 괜찮은 놈을 세일해서 99000원에 파는 걸보고 홀딱 반했는데 한 번에 두 켤레를 살 수는 없었고 신어보니 무게감이 루나를 따라갈 수 없어서 일단 포기했다.,"[0, 0, 0, 1, 0]"
"처음에 마음에 든 건 아래 녹색이었는데, 이후 골드가 출시된 것을 알고 마음이 바뀌었다.","[0, 1, 0, 0, 0]"
나는 사실 핑크 별로 안 좋아하는데 다른 색상이 다 이쁘지 않게 나왔다.,"[0, 1, 0, 0, 0]"
이런 말해서 미안하지만 디자인 촌발 날리는 건 삼성 따라갈 게 없는 거 같다.,"[0, 1, 0, 0, 0]"
디자인에 돈 좀 들이던가 안목을 높여줘.,"[0, 1, 0, 0, 0]"
지금 이게 어른이 들고 다니라고 만든 거 맞아?,"[0, 1, 0, 0, 0]"
-_-; 색 조합이 저게 뭐냐?,"[0, 1, 0, 0, 0]"
"흰색에 빨강 띠, 검정에 흰색 띠..","[0, 1, 0, 0, 0]"
아이구야.. 검정에 굳이 띠를 둘러야겠다면 회색이 더 낫지 않나.,"[0, 1, 0, 0, 0]"
흰색이면 그냥 흰색으로 밀고 나가면 되지 무슨 촌스런 빨강이야.,"[0, 1, 0, 0, 0]"
채도나 이런 것도 실제는 어떨지 몰라도 사진으로는 실망스럽다.,"[0, 1, 0, 0, 0]"
색을 저렇게 밖에 못 뽑는지 묻고 싶다.,"[0, 1, 0, 0, 0]"
막상 도착한 에코백은 작은 거 좋아하는 나에게도 몇 센티 쯤인가 너무 작게 느껴졌으나 디자인이 중요한 가방이라 그럭저럭 만족한다.,"[0, 1, 0, 0, 0]"
하지만 밑창의 옆면에도 음각으로 아디다스 로고가 들어가 있고 브랜드가 언뜻 봐선 뭔지 모르게 처리한 게 마음에 든다.,"[0, 1, 0, 0, 0]"
그래도 얇아서 덥지 않고 색깔이 청량감이 있어서 스웨이드임에도 여름 운동화 같다.,"[0, 1, 0, 0, 0]"
제법 깔끔한 디자인이다.,"[0, 1, 0, 0, 0]"
깔끔한 디자인이다.,"[0, 1, 0, 0, 0]"
LEXMA 블루투스 마우스 쪽이 크기도 작고 디자인도 좋다.,"[0, 1, 0, 0, 0]"
LEXMA의 디자인이 월등히 낫다.,"[0, 1, 0, 0, 0]"
전체적으로 마우스의 크기가 작기 때문에 온오프 스위치와 커넥트 버튼이 작다.,"[1, 0, 0, 0, 0]"
이점이 손이 큰 사람에게는 불편할 수도 있다.,"[1, 0, 0, 0, 0]"
다만 넷북 이용시에는 역시 마우스는 작아야 편하니 이런 점을 감안한다면 불가피한 크기.,"[1, 0, 0, 0, 0]"
LEXMA 블루투스 마우스는 크기가 작아 어딘가 갈 때 UMPC와 함께 들고 다니기에도 편리할 듯 싶다.,"[1, 0, 0, 0, 0]"
마우스 없이 PS3 조이패드로 인터넷을 하는 것은 힘들지만 블루투스 마우스만 있으면 간편하게 PS3에서 인터넷을 즐길 수 있다.,"[1, 0, 0, 0, 0]"
"장점 : 디자인이 깔끔하다, 작아서 휴대성이 용이, 높낮이 조절 가능, 다양한 블루투스 지원 기기에서 사용 가능.","[1, 1, 0, 0, 0]"
"단점 : 컴펙트하여 손 큰 사람에게는 불편, 마우스 하단의 버튼들이 작아 손 큰 사람들에게는 불편할 듯.","[1, 0, 0, 0, 0]"
디자인과 조작감에서 차이가 날 뿐인데 LEXMA 블루투스 마우스는 디자인과 조작감 둘 다 합격점.,"[0, 1, 0, 0, 0]"
다만 내가 손이 작은 편이라 손이 큰 사람은 불편할 수도 있으니 그 점을 감안하는 것이 좋다.,"[1, 0, 0, 0, 0]"
넷북 같은 휴대기기에 큰 마우스보단 이런 적당히 작은 마우스를 갖고 다니는 것이 편리하겠지만 말이다.,"[1, 0, 0, 0, 0]"
귀염귀염 세일러느낌이에요,"[0, 1, 0, 0, 0]"
전반적으로 제이스타일 옷들은 핏이참 이쁜듯해요,"[0, 1, 0, 0, 0]"
제이스타일 옷들은 전반적으로 핏이참 예쁘게 떨어지는듯해요 ^^,"[0, 1, 0, 0, 0]"
넘나귀요워 ♥,"[0, 1, 0, 0, 0]"
#&name&이유식 들어가면서 만들어줘야겠다.. 생각했는데 역시나 넘나 간편한 #베이비쿡솔로 ..,"[1, 0, 0, 0, 0]"
요즘은 #육아장비빨 시대인만큼 ㅎㅎ.. 쉽고 영양가는 지켜주면 되니깐 굳뜌..,"[1, 0, 0, 0, 0]"
색상이 보니 어느정도 투명해서 티도.. 많이 안나고 >_< 전용가위까지 센스 쩔..,"[0, 1, 0, 0, 0]"
넘 예뿌다..,"[0, 1, 0, 0, 0]"
가성비 좋아서 쓰고 있는데.. 자주 갈아줘도 부담없고 ^^.. 아이도 활동하는데 무리없고..,"[0, 0, 0, 1, 0]"
거품형이라 편하기 까지 함 ㅋㅋ...,"[1, 0, 0, 0, 0]"
이뿌다,"[0, 1, 0, 0, 0]"
그나저나 예쁘기도 하네..,"[0, 1, 0, 0, 0]"
이번에 #소르베베시그니처 이뿌더라..,"[0, 1, 0, 0, 0]"
#소르베베 편안해서 요즘 인기 많던데.. 프리미엄시그니처는 디자인도 예쁨하네..,"[0, 1, 1, 0, 0]"
아기띠 한다고 지못미 스타일 되지 않게.. 멋스럽게 착용할 수 있는 #아기띠,"[0, 1, 0, 0, 0]"
제트블루 컬러가 우리한테 어울릴 것 같았는데.. 친구가 코코아 브라운 착용한거보니 괜찮더라구요.,"[0, 1, 0, 0, 0]"
편안하기만 한게 아니니 더 좋구만 ..,"[1, 0, 0, 0, 0]"
#국민방수요 이름을 가지고 있는.. #뮤라 `-`,"[0, 0, 1, 0, 0]"
뱃살도.. 제법 되는데 자국없이 편안하게 잘 입네요.,"[1, 0, 0, 0, 0]"
이젠 #신생아아기띠 벗어나나 싶지만.. 요즘은 #올인원아기띠 로 #아기띠 부터.. #힙시트 까지도 모두 한번에 해결이 되죠..,"[1, 0, 0, 0, 0]"
가성비 좋고 실용성 좋은 #토드비 착용하는데.. 스타일도 색상도 예쁘고 재질도 부드러워서.. 만족만족..,"[0, 1, 0, 1, 0]"
편안하니깐 이번 여름 잘 써보자..,"[1, 0, 0, 0, 0]"
컴팩트한 사이즈에 예쁜 스타일링..,"[1, 1, 0, 0, 0]"
앙증맞은 사이즈지만 이거 완전 레알 잘찍힌다..,"[1, 0, 0, 0, 0]"
예쁘기만 한게 아니라 기능도 퍼펙 ㅋㅋ..,"[0, 1, 0, 0, 0]"
진짜 핫하지 않나싶네여 ㅋㅋ..,"[0, 0, 1, 0, 0]"
그리고 작은사이즈의 #스틱비누 휴대하며 사용중인데 가지고 다니며 사용하니 아이들 손씻길때도 좋고 손씻고 땡기지 않아서 좋네요~,"[1, 0, 0, 0, 0]"
가격도 저렴하니 굿!,"[0, 0, 0, 1, 0]"
예뻐서 선물하기에도 좋다!,"[0, 1, 0, 0, 0]"
3가지 어플리케이터로 체계적으로 집에서도 관리 가능한데요~,"[0, 0, 0, 0, 1]"
앰플이 비싸다는 편견은 이제안녕~~,"[0, 0, 0, 1, 0]"
부담없는 가격이라 이제는 고기능 앰플을 매일매일 바를수 있네요!,"[0, 0, 0, 1, 0]"
"마스킹 레이어링 앰플은 메디힐에서 새로 출시한 앰플로..앰플캡도 편리해서 휴대,보관도 용이하네요!","[1, 0, 0, 0, 0]"
겟잇뷰티 뷰라벨토너 1위!,"[0, 0, 1, 0, 0]"
패키지는 완전 #취향저격!,"[0, 1, 0, 0, 0]"
디자인이 #예쁜치약 이라 선물로도 제격!!,"[0, 1, 0, 0, 0]"
꺅!! 이거 완전 귀엽자나~~~,"[0, 1, 0, 0, 0]"
고민에 따라 하루 1팩 골라사용하기 좋아요~,"[0, 0, 0, 0, 1]"
패키지부터 눈길을 확 잡는 귀염미 뿜뿜!! 한 #슈렉팩 #피오나팩 #쿵푸팬더팩!,"[0, 1, 0, 0, 0]"
"그날그날 피부 컨디션에 따라 골라하는 재미도 있는 #드림웍스페이셜마스크팩 으로 우리 같이 피지, 블랙헤드를 모두 날려보아요~!","[0, 0, 0, 0, 1]"
여행파우치 저도 겟했는데 휴가때 써보니 완전 유용하더라구요~,"[1, 0, 0, 0, 0]"
귀여운것은 덤~~^^,"[0, 1, 0, 0, 0]"
4가지 패키지를 내맘대로 골라쓰는 재미까지!,"[0, 0, 0, 0, 1]"
넘 예쁜 # #오드오랄 치약 #취향저격!,"[0, 1, 0, 0, 0]"
주변에서 추천해준 이유를 알겠다,"[0, 0, 1, 0, 0]"
패키지도 고급지고 예뻐서 #출산선물 로도 굿굿❗🤘,"[0, 1, 0, 0, 0]"
집에서도 캠핑갈때도 어디서나 간편하게 사용가능한 무선 LED #무드램프 💡,"[1, 0, 0, 0, 0]"
귀여운 에그모양 프리즘 충전식 무드램프!🍳,"[0, 1, 0, 0, 0]"
게다가 대용량이라 가성비 쵝오!👍,"[0, 0, 0, 1, 0]"
#&name&칫솔 로 핫한 #쿨샤전동칫솔 로 바꿨어요❗,"[0, 0, 1, 0, 0]"
무선 충전방식 #전동칫솔 로 1번 충전하면 10일정도 사용할수 있어서 여행이나 출장갈때도 편리해요~🖒,"[1, 0, 0, 0, 0]"
휴대가 간편한 usb연결 방식이라 캠핑장에서도 사용할수있어 굿굿~♩,"[1, 0, 0, 0, 0]"
흡수력이 좋아서 #밤기저귀 로 유명한 팸퍼스❗,"[0, 0, 1, 0, 0]"
탑투토워시 하나로 샴푸까지 되니깐 샤워시키기도 간편해~😄,"[1, 0, 0, 0, 0]"
생각했던 것보다 편하고 이쁘네 🙃,"[1, 1, 0, 0, 0]"
붙이는 것도 간편하고 길이조절도 간편하고 손톱이 작은 편이라 고민했었는데 사이즈도 다양하게 있어서 골라쓰니 문제없군 🤩,"[1, 0, 0, 0, 1]"
&name&가 사용할거라서 #가성비 좋은 놈으로 #겟,"[0, 0, 0, 1, 0]"
✔내구성이 우수한 아연합금 재질에 모던한 디자인,"[0, 1, 0, 0, 0]"
✔어떠한 설정도 없이 전원만 연결하면 되는 초보자도 쉬운설치,"[1, 0, 0, 0, 0]"
✔넷기어앱 다운시 스마트폰에서도 터치로 간편한 세팅 가능,"[1, 0, 0, 0, 0]"
크크크.넘나 예쁜 것!,"[0, 1, 0, 0, 0]"
이런 옷 (공주st) 안좋아하는데 너무 이쁘다 😍,"[0, 1, 0, 0, 0]"
"하, 포장도 이뻐요.","[0, 1, 0, 0, 0]"
"하 영롱해 ,, ෆ","[0, 1, 0, 0, 0]"
디자인부터 빛나는 광채 쿠션,"[0, 1, 0, 0, 0]"
패키지가 예뻐서 선물용으로도 좋아요🎁,"[0, 1, 0, 0, 0]"
상큼상큼한 컬러에 통기성이 좋아서 운동할 때 넘나 편한 #아디다스테렉스 🏃‍♀️🏃‍♀️,"[1, 0, 0, 0, 0]"
가볍고 물에 젖어도 되는 운동화라 여름철 물놀이 갈 때도 유용해요!,"[1, 0, 0, 0, 0]"
가볍고 부피도 작아서 여행갈 때 필수로 챙겨가게 되되네요~👍🏻,"[1, 0, 0, 0, 0]"
예쁜게 편하기까지 하니까 엄마도 탐내요ㅋㅋ,"[1, 1, 0, 0, 0]"
나 오늘부터 진짜 #다이어트 하는 여자니깐 #간코치도시락 #수가클렌즈미 쥬스 챙기고 넘나 가벼워서 요즘 맨날 챙겨 다니는 #g9xmark2 까지💕,"[1, 0, 0, 0, 0]"
물티슈는 #대디베이비 만 사용하는데 휴대용 사이즈 요거 외출할 때 진짜 편해요~ ㅋㅋ,"[1, 0, 0, 0, 0]"
가방 속에 쏙 챙기기도 좋고!,"[1, 0, 0, 0, 0]"
오히려 얇은 물티슈는 더 많이 쓰게 되서.. 가성비도 더 좋은 것 같은..ㅎㅎ,"[0, 0, 0, 1, 0]"
홈쇼핑에서도 굉장히 인기템이라고 하던데.. 아침 입냄새까지 개선시켜주니까 모닝키스를 부르는 치약이라고도하네옄ㅋㅋㅋㅋㅋ,"[0, 0, 1, 0, 0]"
벌써 백만판매를 돌파했다는 루나 롱래스팅 팁 컨실러~!👏🏻👏🏻,"[0, 0, 1, 0, 0]"
뭐든 예쁜게 좋아요..ㅎㅎ,"[0, 1, 0, 0, 0]"
자외선차단도 예쁜 선쿠션으로 !🌸,"[0, 1, 0, 0, 0]"
"케이스도 넘 예쁘고, 사이즈도 완전 크죠?ㅎㅎ","[1, 1, 0, 0, 0]"
화장대 위에 올려두니 고급스러워서 내 방이 고급 스파샵이 된 것 같기도 하고 ㅎㅎ,"[0, 1, 0, 0, 0]"
청담동 인근 피부샵이랑 오닉스 써보신 분들께 입소문 많이 난 제품이라고 하더라구요~🤔🤔,"[0, 0, 1, 0, 0]"
"환절기에 여행에 내 피부 바람잘날 없었는데 자기 전, 마스크팩 하는 15분만 투자하면 담날 매끈매끈 윤기나는 피부로 관리할 수 있어서 정말 편해욤😆😆 .","[1, 0, 0, 0, 0]"
"입소문난 #인큐브크림 ,","[0, 0, 1, 0, 0]"
은은한 어반 컬러 톤과 패브릭이 돋보이는 샌드베이지 프리미엄 다운은 딱 트렌디한 느낌이 있기도 하고요 ㅎㅎ,"[0, 1, 0, 0, 0]"
클래식한 느낌이라 겨울 내 입어도 질리지 않을 것 같아요~👍🏻,"[0, 1, 0, 0, 0]"
여기반짝 저기반짝한 패키지도 홀로그램과 딱 잘 어울리죵?,"[0, 1, 0, 0, 0]"
피부 단백질 구조와 가장 흡사한 고가의 캐비아를 저렴한 가격에 마스크팩으로 피부관리를 할 수 있으니 #대박템 !!💜,"[0, 0, 0, 1, 0]"
넘나 귀여워서 반해쮸😍😍,"[0, 1, 0, 0, 0]"
요즘 #미니백 에 꽃혀 있는데 부담없이 가방 속에 쏙~ 들어가니 좋네용 ㅎㅎ,"[1, 0, 0, 0, 0]"
스틱형 화장품이라 수영장에 챙겨가서 수시로 슥슥~ 발라주기도 편하고 물에 들어갔다 나왔다 하다보면 피부 당김도 심한데 보습스틱도 제 역할을 톡톡히 해주더라구요 ㅎㅎ👍🏻👍🏻,"[1, 0, 0, 0, 0]"
동글동글 부피가 작아서 어디든지 챙겨다닐 수 있어서 굿굿~,"[1, 0, 0, 0, 0]"
#에스닉 느낌도 좋쿠 체형커버도 되는 것 같구,"[0, 1, 0, 0, 0]"
