input,entity,label
자연스러운 화장 원하시면 겟!겟!,제품 전체#일반,0
내 기준 레깅스는 뭐니뭐니해도 배를 쫜쫜히 잡아주고 입은듯 안입은듯 편해야되는데 둘다만족ㅎㅎㅎ,제품 전체#품질,0
리얼비타씨앰플 향부터가 너무 좋아서 열기전부터 비타민냄새 폴폴,본품#일반,0
촉촉하면서 끈적이지 않고 보습력도 좋은 미백크림!!,본품#품질,0
건성피부가 애정하는 #아이소이 #모이스춰라이집 !,제품 전체#일반,0
피부겉돌지 않고 ~ 흡수력도 좋아 금방 촉촉해져요,본품#품질,0
"가방에 보냉파트가 있어 이유식이나 물, 음료 시원하게~",본품#품질,0
그 유명하다는 아이로션계의 sk2,제품 전체#인지도,0
"자외선과 폭염, 땀으로 자극받은 내 피부를 위해 여름에 사용하기 딱 좋은 #담크림 2종 준비했어요",본품#일반,0
#팩추천,제품 전체#일반,0
어버이날 선물 고민중이였는데 양쪽집 모두 요걸루 해야게어요,제품 전체#일반,0
지금까지 이런 필링젤은 없었던 것 같아요.^^,제품 전체#일반,0
한식에 쓰임 좋은 4인 세트라 더 좋은 !!!,패키지/구성품#편의성,0
지금까지 사용하던 팩이랑은차원이 다른 팩이에요.,제품 전체#일반,0
편리한 펌핑타입에 가격도 굿!,제품 전체#가격,0
앰플 톡 터뜨려서 영양 팡팡 🎉,본품#품질,0
롯데무선물걸레청소기 최고당👍🏻,제품 전체#일반,0
홍삼오일 성분이 진피관리에 도움을 줘서 피부 치밀도를 개선해준다는데 #3DAYS키트 만 써봐도 놀라워서 당장 본품 구매하고 싶어지네요,본품#품질,0
#incuv #시베리안진생크림 #추천템 인정👍🏻 . .,제품 전체#일반,0
유해물질 없는 크림이라 아이와 함께써도 된다니..이건 뭐 사랑이지♡,본품#품질,0
하루 종일 지친 피부 #NUXE #리치오일 로 릴렉스 해주기 💕,제품 전체#일반,0
온가족 #선케어 끝🌸,제품 전체#일반,0
더 푹신푹신 더 말랑말랑해진 기저귀,제품 전체#품질,0
#홈케어 끝나고 나면 충전하면서 UV케어까지 되니까 진짜 짱짱👍🏻👍🏻,본품#일반,0
여드름성 피부는 닥터지라인으로 맑게 클리어!!!,본품#품질,0
미용실헤어팩을 집에서 할수 있어서 좋아요,제품 전체#일반,0
은은한 향에 촉촉함까지 Best +_+..,본품#품질,0
피부재생에 좋은 성분들만 쏙쏙!,본품#품질,0
불필요한 것은 비우고 필요한 것은 채우는 #비움주방세제,제품 전체#일반,0
끈적임이 없는 쫀쫀한 텍스쳐로 피부에 가볍게 밀착되는 앰플로 수분이 가득 들어간 앰플제품으로 피부 표면부터 피부 속까지 오랫동안 촉촉하게 유지되는 제품이라서 요즘 저의 pick 인 앰플이랍니다,본품#일반,0
정말 순하고 수분감 가득 촉촉해서 좋다,본품#품질,0
전세계45개국의 여성들에게 사랑받고 있는 미국판매1위,제품 전체#인지도,0
살짝 약초 향도 나고 왠지 피부가 건강해지는 느낌이에요🤗,본품#일반,0
잠잘 때 좋은 향 맡으면 더 잠이 잘와서 베개에 뿌려주면서 매일 사용하는 [더블유드레스룸]드레스퍼퓸 양양서핑향,제품 전체#일반,0
생각했던 것보다 편하고 이쁘네 🙃,제품 전체#디자인,0
전방보기 엄마보기 뭐든 다 Ok,본품#품질,0
완전 위생적이라 좋더라구요!!,제품 전체#품질,0
눈시림없고 가볍고 발림성이 좋아서 로션처럼 부담없이 바를수 있어요!,본품#품질,0
지속력도 좋고 쓰면 쓸수록 너무이뻐 자꾸 바르게 되는 #립스틱,본품#품질,0
민감한 아이들피부에 좋다,제품 전체#일반,0
#모두니트 쵝오👍,제품 전체#일반,0
"더러움은 깔끔하게, 피부는 편안하게 만들어주는 이기바디워시 에바비바♡",본품#품질,0
"에어가 터지면 걸을 때 민망한 소리가 난다는 말을 들은 적도 있고, 나이키 에어는 별로 내구성이 좋지 않다는 소리도 많이 들어서 그 점도 플러스가 됐다.",제품 전체#품질,0
공기 순환에 도움을 줘서 환기와 온도유지에 효과적이라 봄부터 겨울까지 사계절내내 사용가능,본품#품질,0
여기반짝 저기반짝한 패키지도 홀로그램과 딱 잘 어울리죵?,패키지/구성품#디자인,0
혹시 발생될 지 모르는 미생물까지 테스트하고 6단계 정수과정을 거친 깨끗한 정제수만 사용했다니 믿고 안심하고 사용할 수 있네요,제품 전체#품질,0
폴딩도 짱쉽고 들고다니기도 편하고 이너시트 양면이라 여름에도 쓰기 좋은거 안 비밀,본품#품질,0
"싱크대거름망, 음식물쓰레기봉투 모두 옥수수전분으로 만들어 자연분해돼는 친환경제품이라 넘 좋아요👍",제품 전체#품질,0
게다가 입구가 펄럭거리면 불편하니 테잎도 동봉되어 있어서 이렇게 발목을 조일 수 있다.,패키지/구성품#일반,0
"여드름용, 주름용, 화이트닝 등등 이 것 저 것 쳐발쳐발 하던 예전과는 다르게 #피부뿌리부터힘있게 #스킨케어 해주니 강한 #화장품을 찾지 않게 되더라구요~",본품#품질,0
편안하니깐 이번 여름 잘 써보자..,본품#편의성,0
사랑하는 사람에게 배려하는 #필수템 #치약추천 !! ㅎㅎ,제품 전체#일반,0
넘나 자연스러움,제품 전체#품질,0
"원단도 튼튼하고 항곰팡이 및 방취가공이 되어 있어 위생적이고, 습진 예방도 가능해요.",제품 전체#품질,0
집에 돌아와 #액티브키즈샤이니샴푸 랑 #바디로션 써봤는데 정말 NEW버전으로 업그레이드되어서인지 흡수력도 더 좋아지고 향기도 더 좋은 거 같아요!,본품#품질,0
메이드 인 코리아 제품으로 안전하고 오래도록 사용할 수 있는 선풍기,본품#품질,0
"등받이와 엉덩이부분이 미끄럼방지 처리되어 있어 혼자 앉히고 씻기기 편하고,, 물받는 표시선까지 있어 물낭비도 줄여준다능!!",본품#일반,0
손톱이 약한 내가 선택한 네일매일,제품 전체#일반,0
#두피세정 부터  #두피보습 까지 영양공급 듬뿍 ,본품#품질,0
- 기대이상의 퀄,제품 전체#품질,0
추천드립니당,제품 전체#일반,0
얇고 가벼운 리퀴드 제형이 피부결 사이사이에 얇고 매끈하게 밀착!,본품#일반,0
"쿨샤는 따로 치실,치간칫솔 사용안해도 깔끔하네요~ :)",본품#품질,0
부담없이 #데일리케어 하기 #존좋 😍,제품 전체#일반,0
역시 하만이라..👍🏻,브랜드#일반,0
부드럽게 발리며끈적임없이 촉촉해지면서 피부재생에 도움이 되며 매일 한화고 깨끗한 #피부관리 중이지요,본품#품질,0
구름같이 가벼운 보송보송한 텍스쳐라 실키한 마무리 베리굿!,본품#일반,0
저자극테스트도 완료했다구용,본품#품질,0
깨끗한 화이트 컬러에 모던한 디자인으로 #주방인테리어 에 한 몫 하는 #예쁜주방세제,제품 전체#디자인,0
엄마가 가까이서 보는데도 디기 자연스럽다고 했음,제품 전체#품질,0
아침에 일어나자마자 물티슈처럼 뽑아서 사용하는 #SOS마스크팩 을 60초만 올려두는데 넘 간편하고 좋아요,제품 전체#편의성,0
시칼파트블루젤로 예민한 피부를 진정시키면서 촉촉하게 보습하고 시칼파트 S.O.S 크림으로 고민되는부위 케어와 손상된 피부 개선시키고 보호하기~,본품#품질,0
그런데 라나는 발색떨어지지 않으면서 꽤 촉촉함,본품#품질,0
3개월썼는데 흡착력은 여전히 강함👍,제품 전체#품질,0
내가 애정하는 #슈에무라,브랜드#일반,0
"전성분 EWG 그린 등급, 자연유래세정제로 아이는 물론 민감한 분들도 다 사용하기 좋을것 같아요~",본품#품질,0
오늘도 &name&네는 몽디에스로 뽀송뽀송,제품 전체#일반,0
