input,entity,label
둘쨋날은 미친듯이 밟아봤더니 기어가 헛돌면서 틱틱 소리가 나서 경악.,품질,"[0, 1, 0, 0]"
"이거 뭐 삐꾸를 준 거 아냐 불안하고, 거금 투자한 게 왜 이래.. 싶어서 정이 확 떨어졌는데 산 곳 가져가서 확인하니 기어 텐션 문제라고 고장 아니래.",품질,"[0, 1, 0, 0]"
간사하게도 그 이후에는 라이딩이 아주 즐거워져서 만족스럽게 탔다.,일반,"[1, 0, 0, 0]"
샥이 없는 모델이라 일반 도로에서 타면 노면의 진동 때문에 손목이 덜덜덜 떨리고 이가 부딪칠 지경인데 이마저도 며칠 타면서 익숙해지니 신경쓰이지 않게 됐다.,일반,"[1, 0, 0, 0]"
안장도 딱딱해서 엉덩이가 아팠는데 무시하고 타고 있다.,일반,"[0, 1, 0, 0]"
지금 내 실력과 저질 체력으로는 이 정도 자전거도 되게 훌륭한 거라는..,일반,"[1, 0, 0, 0]"
내장 기어 3단은 썩 좋은 물건이라 기어 변환도 부드럽고 겉에서는 기어가 보이지 않기 때문에 깔끔하다.,품질,"[0, 1, 0, 0]"
한번 교환했는데 새로 온 UD20은 불량화소가 있고 ㅜ ㅜ ㅜ,품질,"[0, 1, 0, 0]"
전에 작동 안되었던 자막 검색 후 등록 기능이 똑같이 작동 안 된다!!!,품질,"[0, 1, 0, 0]"
왜 [등록]키를 만들어놓고 제대로 단어장에 등록이 되지 않는 거냐!!,품질,"[0, 1, 0, 0]"
다른 부가 기능은 참 훌륭한데..,품질,"[0, 1, 0, 0]"
미치겠네.,일반,"[1, 0, 0, 0]"
아.. 진짜 기계 사겠나.,일반,"[1, 0, 0, 0]"
이번에는 사전까지..,일반,"[1, 0, 0, 0]"
동영상 재생하면서 자막 중 모르는 내용 있으면 터치해서 바로 검색하는 기능 때문에 산 건데 이게 에러다..,품질,"[0, 1, 0, 0]"
어제 샀는데 오늘 안 되더군.,품질,"[0, 1, 0, 0]"
아까 한 번 잠깐 되더니 지금 또 등록 버튼이 먹통이다.,품질,"[0, 1, 0, 0]"
30만원 쥐어주고 산 건데 벌써 이러면 무진장 곤란하다.,일반,"[1, 0, 0, 0]"
등록했다가 암기장으로 옮겨가면 굉장히 편리한 기능이라 포기할 수 없다.,품질,"[0, 1, 0, 0]"
그렇다고 백화점에서 똑같은 걸 5만원 더 주고 사기도 싫고.,가격,"[1, 0, 0, 0]"
전자사전 기능은 훌륭한데 이런 게 고장이 없어야지.. ㅜ ㅜ ㅜ ㅜ ㅜ,품질,"[0, 1, 0, 0]"
기능이 너무 많아서 하루 안에 다 뒤져보지도 못했네.,품질,"[0, 1, 0, 0]"
"만화책 보는 건 오케이, 녹음도 잘 되고..",품질,"[0, 1, 0, 0]"
"스펙상으로는 116g인데 집에서 저울로 재어보니 118g, 실제로 들어보니 돌덩이 같다.",편의성,"[1, 0, 0, 0]"
역시 내게는 98g이상은 무거운 거였어.,편의성,"[1, 0, 0, 0]"
디자인은 흰색은 참.. 별로였는데 블랙으로 하니 그나마 아이덴티티라고 할만한 게 하나도 없어서 좀 낫다.,디자인,"[1, 0, 0, 0]"
저 다이아몬드 버튼과 둥글게 처리한 게 마음에 안 든다.,디자인,"[1, 0, 0, 0]"
"각진 인생, 폰도 사각이 좋고 뒷백도 펄 같은 거 좀 별롤세;;",디자인,"[1, 0, 0, 0]"
워낙 하드보일드한 성격이라 군더더기로 넣은 디자인이 마음에 다 안 들어.,디자인,"[1, 0, 0, 0]"
ㅜ ㅜ 테이크폰처럼 만들어주던가 멋을 내려면 아크..,디자인,"[1, 0, 0, 0]"
동영상 변환하기 싫어서 환장할 지경이라 디빅만으로도 얘는 가치 있다.,품질,"[0, 1, 0, 0]"
근데 터치가 적응이 안 돼.,일반,"[0, 1, 0, 0]"
"오타나고 ㅖ, ㄲ 이런 거 어떻게 넣는지 모르겠다.",품질,"[0, 1, 0, 0]"
착한지 안 착한지는 상대적이라 잘 모르겠으나 살인적인 물가를 고려할 때 이 정도면 적정선 같음.,가격,"[1, 0, 0, 0]"
물론 쥐시장 가면 천원짜리도 많겠지만 가격대비 면이 좋네.,품질,"[0, 1, 0, 0]"
보드랍고 신축성 있고 허리까지 충분히 내려오는 길이에 얇아서 티 안에 입어도 더울 거 같지 않다.,일반,"[1, 0, 0, 0]"
배색도 핑크랑 그레이라 무난하면서도 칙칙하지 않다.,디자인,"[1, 0, 0, 0]"
한 철 잘 입다가 늘어나면 집에서 반바지랑 입고 땀 뻘뻘 흘리면서 컴퓨터 두드려야겠음.,일반,"[1, 0, 0, 0]"
왠지 좋아보인다.,일반,"[1, 0, 0, 0]"
"민트, 솔잎 이런 게 들어서 그런가 굉장히 화~~~하다. -_-;",품질,"[0, 1, 0, 0]"
아무래도 발이다 보니 이러고 돌아다닐 수도 없고 친절하게 비닐 봉지가 들어있다.,일반,"[0, 0, 1, 0]"
게다가 입구가 펄럭거리면 불편하니 테잎도 동봉되어 있어서 이렇게 발목을 조일 수 있다.,일반,"[0, 0, 1, 0]"
나름 궁리를 많이 한 상품 같네.,일반,"[1, 0, 0, 0]"
사실 난 투명 컵이 더 좋은데 다들 색깔이 연하게 들어가있다.,디자인,"[1, 0, 0, 0]"
역시 코카콜라 컵이라 콜라가 더 잘 어울린다.,일반,"[1, 0, 0, 0]"
사이즈가 평소 마시는 것보다 약간 커서 넉넉하게 담을 수 있는 건 좋은데 설거지하기에는 밑이 좀 깊어서 불편.,편의성,"[0, 0, 1, 0]"
게다가 떨어뜨리면 바로 와장창 이라고 해서 조심하고 있다.,일반,"[1, 0, 0, 0]"
600원짜리 컵인데 더 이상을 바랄 순 없을 듯.,일반,"[1, 0, 0, 0]"
ㅜ ㅜ 너무 기뻐서 눈물이..,일반,"[1, 0, 0, 0]"
너무 좋다..,일반,"[1, 0, 0, 0]"
"매일 매일 책상을 청소하게 만들었던 최악의 지우개, 톰보우 미술용과는 100배쯤 차이났다.",일반,"[1, 0, 0, 0]"
쉽게 잘 지워지는 건 물론이고 지우개 똥이 거의 없다.,품질,"[1, 0, 0, 0]"
정말 기뻤다.,일반,"[1, 0, 0, 0]"
그렇다고 가격이 그렇게 비싸냐하면 절대 그렇지 않다.,가격,"[0, 0, 0, 1]"
톰보우도 몇 백원은 준 거 같은데 사쿠라폼은 우수한 성능에도 불구 단돈 600원.,일반,"[1, 0, 0, 0]"
저것만 제거하면 되서 정말 편하다.,편의성,"[0, 1, 0, 0]"
너무 이뻐서(얼굴은 보지도 않았음. 이게 병;)신발만 보면서 한참을 따라간 듯.,디자인,"[1, 0, 0, 0]"
정확하게는 신발과 합체된 종아리 이하 모습에 반했다고 해야 맞을 듯.,일반,"[1, 0, 0, 0]"
그래서 매장에 가봤더니 아니나 다를까 색감하며 디자인하며 이건 무슨 구석기 시대 운동화냐 싶은게 신어보니 발은 항공모함만해 보여서 냅다 버리고 뒤도 안 돌아보고 왔단 얘기.,디자인,"[1, 0, 0, 0]"
ㅋㅋ 근데 신은 애들을 보면 또 그렇게 보이지도 않으니 귀신이 곡할 노릇.,일반,"[1, 0, 0, 0]"
특히 마음에 안 드는 건 뒷축으로 클래식 시리즈는 덜 하지만 뉴발의 대개 모델들은 뒷축이 이상하게 툭 튀어나와서 좀 닳을 때까지는 눈에 너무 거슬릴 거 같다.,디자인,"[0, 1, 0, 0]"
근데 난 빨강을 안 좋아한다.,디자인,"[1, 0, 0, 0]"
나에게 주는 진심어린 선물.,일반,"[1, 0, 0, 0]"
착화감이 너무 좋다.,품질,"[0, 1, 0, 0]"
봉제선이 앞코 쪽에 딱 한군데 있고 맥스나 테니스 클래식 등보다 훨씬 편하다.,디자인,"[1, 0, 0, 0]"
